taxon	rbcL-atpB-intergenic-spacer	contains-tRNA-Leu-(trnL)-and-trnL-trnF-intergenic-spacer	matK	5.8S-ribosomal-RNA	rbcL	trnK	ndhF	
Abelia parvifolia			FJ745398	FJ745387				
Abelia uniflora		HQ693978	HQ693934		HQ680734		HQ693955	
Abelia occidentalis	GU168603		GU168644	GU168624		GU168669		
Abelia serrata		HQ693987	HQ693943		HQ680744		HQ693965	
Abelia graebneriana	GU168601	GU168694	GU168642	GU168622		GU168667		
Abelia chinensis		AF366913	AY310461	GU168619	HQ680737		AY115142	
Abelia mexicana	GU168602	GU168695	GU168643	GU168623		GU168668		
Abelia engleriana	GU168599	GU168692	GU168640	GU168620		GU168666		
Abelia schumannii	GU168604	GU168696	GU168645	GU168625		GU168670		
Abelia floribunda	GU168600	GU168693	GU168641	GU168621	HQ680733		HQ693954	
Abelia spathulata	GU168605	GU168697	HQ693941	GU168626	HQ680743	GU168671	HQ693964	
