taxon	trnK	matR	matK	contains-tRNA-Leu-(trnL)-and-trnL-trnF-intergenic-spacer	rps16	trnT-trnL-intergenic-spacer	trnT-trnL-intergenic-spacer.1	trnC-ycf6-intergenic-spacer	18S-ribosomal-RNA	unknown	rbcL	ndhF	PepC	psbA-trnH-intergenic-spacer	3-UFGT	chalcone-synthase	dihydroflavonol-4-reductase	flavanone-3-hydroxylase	
Markhamia acuminata												AY159330							
Tecomella undulata												FJ887875							
Arrabidaea platyphylla												DQ222554							
Arrabidaea pearcei												DQ222553							
Arrabidaea verrucosa												DQ222565							
Clytostoma sciuripabulum												DQ222571							
Clytostoma campanulatum												DQ222570							
Mansoa kerere												DQ222600							
Mansoa parvifolia												DQ222602							
Pithecoctenium cynanchoides										EU812819									
Anemopaegma oligoneuron												DQ222537							
Rhigozum madagascariense												AY500451							
Tecomanthe venusta											JQ933499								
Tecomanthe dendrophila											JF738685								
Spathicalyx xanthophylla												DQ222637							
Tynanthus schumannianus												DQ222646							
Incarvillea mairei				FJ870037															
Pleonotoma melioides												DQ222626							
Memora cladotricha												DQ222611							
Lundia gardneri												JQ343993							
Lundia puberula												JQ344002							
Saritaea magnifica												DQ222636							
Bignonia magnifica											JQ673526								
Bignonia binata				FJ870019															
Amphilophium aschersonii												DQ222532	DQ222655						
Pyrostegia cinerea												DQ222631	DQ222801						
Pyrostegia dichotoma												DQ222632	DQ222803						
Deplanchea tetraphylla				EF105064								EF105006							
Gardnerodoxa mirabilis												DQ222585	DQ222732						
Mussatia prieurei												DQ222615	DQ222777						
Mussatia hyacinthina												DQ222614	DQ222775						
Ceratophytum tetragonolobum												DQ222568	DQ222707						
Arrabidaea conjugata												DQ222545	DQ222675						
Arrabidaea nigrescens												DQ222550	DQ222684						
Arrabidaea spicata												DQ222561	DQ222700						
Arrabidaea inaequalis												DQ222548	DQ222679						
Arrabidaea cinerea												DQ222543	DQ222673						
Arrabidaea oligantha												DQ222551	DQ222685						
Arrabidaea sceptrum												DQ222559	DQ222698						
Arrabidaea rego												DQ222557	DQ222692						
Arrabidaea subincana												DQ222562	DQ222701						
Arrabidaea leucopogon												DQ222549	DQ222681						
Arrabidaea dispar												DQ222546	DQ222676						
Arrabidaea bilabiata												DQ222540	DQ222668						
Arrabidaea prancei												DQ222555	DQ222689						
Arrabidaea trailii												DQ222563	DQ222703						
Arrabidaea harleyi												DQ222547	DQ222678						
Arrabidaea cinnamomea												DQ222544	DQ222674						
Arrabidaea triplinervia												DQ222564	DQ222705						
Arrabidaea revillae												DQ222558	DQ222694						
Arrabidaea affinis												DQ222539	DQ222665						
Arrabidaea brachypoda												DQ222541	DQ222669						
Distictella parkeri												DQ222580	DQ222723						
Distictella magnoliifolia												DQ222579	DQ222722						
Clytostoma uleanum												DQ222572	DQ222710						
Cuspidaria floribunda												DQ222574	DQ222713						
Cuspidaria subincana												DQ222576	DQ222718						
Cuspidaria argentea												JQ343985	JQ344006						
Cuspidaria lateriflora												DQ222575	DQ222716						
Colea sytsmae				EF105058								EF105001							
Pandorea pandorana				EF105076								EF105016							
Argylia robusta				FJ870017								FJ887853							
Millingtonia hortensis				FJ870047								FJ887869							
Mansoa standleyi												DQ222603	DQ222758						
Mansoa difficilis												DQ222598	DQ222752						
Mansoa hymenaea			JQ587022								JQ590829								
Mansoa lanceolata												DQ222601	DQ222755						
Mansoa hirsuta												DQ222599	DQ222754						
