taxon	trnS	trnH-psbA-intergenic-spacer	trnL	ndhJ	atp1	rps2	rbcL	matR	unknown	18S-ribosomal-RNA	RPC1	DRF	putative-CBF/DREB-transcription-factor	RPB2I	trnS-trnG-intergenic-spacer	rpL16	rpoB	contains-PsbA-(psbA),-psbA-trnH-intergenic-spacer-and-tRNA-His-(trnH)	matK	waxy	putative-UBC35/UBC13A	putative-Lhcb3	atpB-rbcL-intergenic-spacer	rbcL.1	rpoC1	RBP2I	RPB2	RPB2D	RPB2D.1	trnL-trnF-intergenic-spacer	RPC1.1	RPB2I.1	rpoB.1	28S-ribosomal-RNA	putative-uroporphyrinogen-decarboxylase	putative-eukaryotic-translation-initiation-factor-SUI1	unknown.1	unknown.2	COX3	phyA	trnT	putative-cytosolic-glutathione-reductase	trnS-trnG-intergenic-spacer.1	nad1	28S-ribosomal-RNA.1	trnT-trnL-intergenic-spacer	26S-ribosomal-RNA	RPB2I.2	RPB2I.3	RPB2I.4	ndhF	atpB	
Rupicola apiculata																							JF437591																														
Gaylussacia amoena																																						AF273721															
Archeria serpyllifolia																							AY971372																														
Archeria hirtella							JQ933224																																														
Psammisia sclerantha																			AF440425																																		
Cyathopsis floribunda																							AY636040																														
Cyathopsis albicans																							AY636039																														
Acrotriche cordata																							AY372545																														
Acrotriche lancifolia																								JQ667233																													
Macleania rotundifolia																			U89757																																		
Monotoca submutica																								JQ667458																													
Leucopogon dielsianus																							AF208767																														
Leucopogon blakei																							AY372570																														
Leucopogon insularis																								JQ667341																													
Leucopogon xerampelinus																							JX993989																														
Leucopogon fletcheri																							AF208770																														
Leucopogon sonderensis																								JQ667380																													
Leucopogon fasciculatus																								JQ667322																													
Leucopogon marginatus																								JQ667351																													
Leucopogon malayanus																								JQ667348																													
Leucopogon gilbertii																								JQ667335																													
Leucopogon exolasius																								JQ667321																													
Leucopogon capitellatus																								JQ667301																													
Leucopogon yorkensis																								JQ667429																													
Leucopogon flavescens																								JQ667325																													
Arbutus occidentalis																																						AF091955															
Empetrum sibiricum			GQ244906																																																		
Empetrum subholarcticum			GQ244907																																																		
Arctous erythrocarpa																																						GQ281006															
Erica saxicola																																						HQ859257															
Erica hispiduloides																																						HQ859087															
Erica serrata																																						HQ859264															
Erica reenensis																																						HQ859233															
Erica gracilipes																																						HQ859073															
Erica cristata																																						HQ858989															
Erica occulta																																						HQ859165															
Erica aristata																																						HQ858917															
Erica benthamiana																																						HQ858938															
Erica regerminans																																						HQ859234															
Erica atromontana																																						HQ858924															
Erica straussiana																																						HQ859286															
Erica pannosa																																						HQ859176															
Erica fausta																																						HQ859040															
Erica brevifolia																																						HQ858946															
Erica daphniflora																																						HQ859002															
Erica polifolia																																						HQ859218															
Erica oresigena																																						HQ859170															
Erica algida																																						HQ858901															
Erica melanthera																																						HQ859145															
Erica sphaerocephala																																						HQ859280															
Erica sparsa																																						HQ859277															
Erica leucanthera																																						HQ859121															
Erica bergiana																																						HQ858939															
