taxon	rbcl	rbcL	rpoB	ycf5	matK	psbA	ndhF	contains-tRNA-Leu-(trnL),-trnL-trnF-intergenic-spacer-and-tRNA-Phe-(trnF)	
Eschweilera apiculata		JQ626335							
Eschweilera alata							DQ388262	DQ417953	
Eschweilera collina							DQ388232	DQ417960	
Eschweilera bracteosa							DQ388230	DQ417958	
Eschweilera wachenheimii							DQ388254	DQ417984	
Eschweilera rimbachii							DQ388233	DQ417977	
Eschweilera albiflora							DQ388226	DQ417954	
Eschweilera ovata							DQ388224	DQ417974	
Eschweilera longirachis							DQ388266	DQ417968	
Eschweilera nana							DQ388271	DQ417971	
Eschweilera mexicana							DQ388269	DQ417969	
Eschweilera odora	Z80182							AF077634	
Eschweilera tenuifolia							DQ388255	DQ417982	
Eschweilera ovalifolia							DQ388245	DQ417973	
Eschweilera juruensis							DQ388242	DQ417966	
Eschweilera atropetiolata							DQ388270	DQ417957	
Eschweilera andina							DQ388229	DQ417956	
Eschweilera laevicarpa							DQ388252	DQ417967	
Eschweilera neei							DQ388253	DQ417972	
Eschweilera integrifolia							DQ388234	DQ417965	
Eschweilera tessmannii							DQ388268	DQ417983	
Eschweilera amazoniciformis						EU049629	DQ388228	DQ417955	
Eschweilera praeclara	JQ626109		FJ817202	FJ817282	FJ514775				
Eschweilera sagotiana	JQ626158				JQ626521		DQ388249	DQ417979	
Eschweilera micrantha	JQ625767					GQ428723	DQ388248	DQ417970	
Eschweilera parviflora		JQ625768			JQ626351		DQ388223	DQ417975	
Eschweilera decolorans	JQ626200				JQ626532		DQ388247	DQ417963	
Eschweilera parvifolia		FJ038085	FJ817212	FJ817280	FJ514771	FJ038975		FJ039218	
Eschweilera congestiflora	JQ626137	FJ038080	FJ817173	FJ817245	FJ514768	FJ038969	DQ388225	DQ417961	
Eschweilera simiorum	JQ626117		FJ817224	FJ817271	FJ514776	GQ428720	DQ388243	DQ417980	
Eschweilera grandiflora	JQ626118	FJ038082	FJ817151	FJ817226	FJ514764	FJ038968	DQ388251	DQ417964	
Eschweilera chartaceifolia	JQ625971	FJ038079	FJ817210	FJ817278	FJ514641	FJ038967	DQ388231	DQ417959	
Eschweilera coriacea	JQ626161	FJ038084	FJ038313	FJ039442	FJ514677	FJ038972	DQ388246	DQ417962	
Eschweilera pedicellata	JQ626058	FJ038087	FJ038315	FJ039444	FJ514715	FJ038974	DQ388250	DQ417976	
