name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Gustavia_poeppigiana	NA	NA	NA	79573	NA	NA	NA	79572	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Gustavia_superba	NA	NA	NA	86843	NA	NA	NA	79572	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Gustavia_augusta	NA	NA	NA	372736	NA	NA	NA	79572	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Gustavia_dubia	NA	NA	NA	372737	NA	NA	NA	79572	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Gustavia_hexapetala	NA	NA	NA	372738	NA	NA	NA	79572	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Gustavia_longifolia	NA	NA	NA	372739	NA	NA	NA	79572	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Gustavia_macarenensis	NA	NA	NA	372740	NA	NA	NA	79572	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Gustavia_monocaulis	NA	NA	NA	372742	NA	NA	NA	79572	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Gustavia_speciosa	NA	NA	NA	372743	NA	NA	NA	79572	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Gustavia_brasiliensis	NA	NA	NA	683726	NA	NA	NA	79572	NA	NA	NA	NA	NA	NA	NA	3642	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
