name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Sambucus_nigra	NA	NA	NA	4202	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Sambucus_racemosa	NA	NA	NA	4203	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Sambucus_ebulus	NA	NA	NA	28503	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Sambucus_australasica	NA	NA	NA	44583	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Sambucus_gaudichaudiana	NA	NA	NA	44584	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Sambucus_australis	NA	NA	NA	57005	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Sambucus_cerulea	NA	NA	NA	57006	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Sambucus_callicarpa	NA	NA	NA	57007	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Sambucus_canadensis	NA	NA	NA	57008	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Sambucus_javanica	NA	NA	NA	57009	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Sambucus_maderensis	NA	NA	NA	57010	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Sambucus_peruviana	NA	NA	NA	57012	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Sambucus_wightiana	NA	NA	NA	57014	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Sambucus_adnata	NA	NA	NA	57203	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Sambucus_williamsii	NA	NA	NA	180062	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Sambucus_tigranii	NA	NA	NA	386292	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Sambucus_chinensis	NA	NA	NA	1045114	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Sambucus_buergeriana	NA	NA	NA	1053963	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Sambucus_glauca	NA	NA	NA	1053964	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Sambucus_manshurica	NA	NA	NA	1053965	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Sambucus_mexicana	NA	NA	NA	1053966	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Sambucus_microbotrys	NA	NA	NA	1053967	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Sambucus_palmensis	NA	NA	NA	1053968	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Sambucus_sachalinensis	NA	NA	NA	1053969	NA	NA	NA	4201	NA	NA	NA	4206	NA	NA	NA	NA	4199	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
