name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Camellia_sinensis	NA	NA	NA	4442	NA	NA	NA	4441	NA	NA	NA	27065	NA	NA	NA	NA	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Camellia_japonica	NA	NA	NA	4443	NA	NA	NA	4441	NA	NA	NA	27065	NA	NA	NA	NA	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Camellia_achrysantha	NA	NA	NA	147911	NA	NA	NA	4441	NA	NA	NA	27065	NA	NA	NA	NA	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Camellia_chrysanthoides	NA	NA	NA	147912	NA	NA	NA	4441	NA	NA	NA	27065	NA	NA	NA	NA	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Camellia_fascicularis	NA	NA	NA	147913	NA	NA	NA	4441	NA	NA	NA	27065	NA	NA	NA	NA	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Camellia_flavida	NA	NA	NA	147914	NA	NA	NA	4441	NA	NA	NA	27065	NA	NA	NA	NA	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Camellia_fusuiensis	NA	NA	NA	147915	NA	NA	NA	4441	NA	NA	NA	27065	NA	NA	NA	NA	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Camellia_grandis	NA	NA	NA	147916	NA	NA	NA	4441	NA	NA	NA	27065	NA	NA	NA	NA	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Camellia_huana	NA	NA	NA	147917	NA	NA	NA	4441	NA	NA	NA	27065	NA	NA	NA	NA	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Camellia_impressinervis	NA	NA	NA	147918	NA	NA	NA	4441	NA	NA	NA	27065	NA	NA	NA	NA	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Camellia_liberofilamenta	NA	NA	NA	147919	NA	NA	NA	4441	NA	NA	NA	27065	NA	NA	NA	NA	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Camellia_limonia	NA	NA	NA	147920	NA	NA	NA	4441	NA	NA	NA	27065	NA	NA	NA	NA	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Camellia_longgangensis	NA	NA	NA	147921	NA	NA	NA	4441	NA	NA	NA	27065	NA	NA	NA	NA	41945	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
