name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Petrea_racemosa	NA	NA	NA	41232	NA	NA	NA	41231	NA	908216	NA	21910	NA	NA	NA	NA	4143	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Petrea_volubilis	NA	NA	NA	41233	NA	NA	NA	41231	NA	908216	NA	21910	NA	NA	NA	NA	4143	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Petrea_kohautiana	NA	NA	NA	925363	NA	NA	NA	41231	NA	908216	NA	21910	NA	NA	NA	NA	4143	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Xolocotzia_asperifolia	NA	NA	NA	925373	NA	NA	NA	908217	NA	908216	NA	21910	NA	NA	NA	NA	4143	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Stachytarpheta_cayennensis	NA	NA	NA	39376	NA	NA	NA	39255	NA	908218	NA	21910	NA	NA	NA	NA	4143	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Stachytarpheta_jamaicensis	NA	NA	NA	634377	NA	NA	NA	39255	NA	908218	NA	21910	NA	NA	NA	NA	4143	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Stachytarpheta_frantzii	NA	NA	NA	925369	NA	NA	NA	39255	NA	908218	NA	21910	NA	NA	NA	NA	4143	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Stachytarpheta_mutabilis	NA	NA	NA	925370	NA	NA	NA	39255	NA	908218	NA	21910	NA	NA	NA	NA	4143	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Bouchea_fluminensis	NA	NA	NA	42207	NA	NA	NA	42206	NA	908218	NA	21910	NA	NA	NA	NA	4143	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Bouchea_prismatica	NA	NA	NA	336894	NA	NA	NA	42206	NA	908218	NA	21910	NA	NA	NA	NA	4143	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Bouchea_linifolia	NA	NA	NA	488973	NA	NA	NA	42206	NA	908218	NA	21910	NA	NA	NA	NA	4143	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
