taxon	tRNA-Phe	unknown	psbA-trnH-intergenic-spacer	rbcL	rpoC1	rpoB	psbJ	rpl32	trnQ-rps16-intergenic-spacer	rps4	unknown.1	trnT-trnL-intergenic-spacer,-IGS	tRNA-Ser	DEF	matK	phan	rps16	ndhF	18S-ribosomal-RNA	contains-tRNA-leu-(trnL)-intron-and-3'-exon,-and-trnL-F-spacer	unknown.2	
Fraxinus hupehensis																			EU314856			
Fraxinus potamophila																			HQ705275			
Fraxinus dubia																			EU314843			
Osmanthus racemosus																			EU643798			
Jasminum lanceolarium																				AY836539		
Jasminum abyssinicum																				AY836542		
Jasminum subhumile																		DQ673269				
Jasminum volubile																			HM116984			
Jasminum multiflorum																				AY836535		
Jasminum elegans																				AY836538		
Olea parvilimba															EU409441							
Chionanthus panamensis															JQ589811							
Chionanthus sessiliflorus				JF738655																		
Chionanthus brachystachys								GU929889														
Chionanthus domingensis				HM446772																		
Chionanthus brassii				JF738949																		
Menodora longiflora																		DQ673273				
Ligustrum ibota																			AF361297			
Ligustrum liukiuense																			AB610489			
Ligustrum micranthum																			AB610493			
Forsythia mandschurica																			DQ022428			
Priogymnanthus apertus																	AF225286					
Syringa wulingensis																			DQ022420			
Syringa tigerstedtii																			AF361287			
Syringa chinensis																			DQ022419			
Syringa amurensis																			AF297074			
Syringa komarowii																			AF361286			
Syringa julianae																			AF277748			
Syringa meyeri																			AF277750			
Hesperelaea palmeri																	AF225245					
Nyctanthes aculeata																	AF225271			AF231862		
Fraxinus sogdiana						GU991711													HQ705287			
Osmanthus insularis																	AF225280			AF231871		
Osmanthus austrocaledonicus							GU929883	GU929890														
Osmanthus rigidus																	AF225281			AF231872		
Haenianthus salicifolius				DQ673308														DQ673282				
Schrebera mazoensis																	AF225289			AF231879		
Jasminum stenolobum				JF265488											JF270835							
Jasminum odoratissimum																	AF225251			AF231842		
Jasminum multipartitum				JF265487											JF270834							
Jasminum sinense																	AF225253			AF231844		
Jasminum leratii																		DQ673271		AY836543		
Jasminum simplicifolium				DQ673298														DQ673270				
Jasminum officinale																	AF225252			AF231843		
Notelaea longifolia																	AF225268			AF231859		
Notelaea punctata																	AF225270			AF231861		
Notelaea microcarpa																	AF225269			AF231860		
Olea capensis																	AF225274			AF231865		
Olea dioica							GQ294641		GQ294696													
Chionanthus filiformis																	AF225217			AF231809		
Nestegis apetala																	AF225263			AF231854		
Nestegis cunninghamii																	AF225264			AF231855		
Menodora integrifolia																	AF225259			AF231850		
Menodora scabra																			AY904020	AY836545		
Menodora spinescens				DQ673299														DQ673272				
Menodora africana																	AF225258			AF231849		
Ligustrum pricei				JF942291											JF954381							
Dimetra craibiana																	AF225224			AF231815		
Priogymnanthus hasslerianus																	AF225287			AF231877		
Myxopyrum hainanense				DQ673294														DQ673265				
Comoranthus madagascariensis																	AF225221			AF231813		
Noronhia peglerae				JF265337											JF270690							
Noronhia foveolata				JF265336											JF270689							
Forestiera eggersiana																	AF225228			AF231820		
Syringa velutina	EF622226																		DQ022416			
Fraxinus malacophylla			HM367485								HQ705467					HM242539						
Fraxinus pallisae		U82871																	HQ705263		U82870	
Fraxinus hopeiensis								HM222797			HQ705418					HM242508						
Fraxinus formosana			HM367426								HQ705400					HM242491						
Fraxinus rufescens											HQ705539					HM242594			EU314885			
Fraxinus insularis				HQ427187		GU991707									HQ427335							
Fraxinus richardii			HM367536					HM222871			HQ705537											
Osmanthus hainanensis															GU146051				HM999674	GU450320		
Osmanthus pubipedicellatus															EU409429				EF362758	EU659981		
Osmanthus urceolatus															EU409437				EU009481	EU659985		
Osmanthus decorus							GQ294652	GQ294668	GQ294709													
Picconia azorica			EU854416	HM850258											HM850981							
Jasminum dichotomum			GU135377	GU135210											GU135048							
Jasminum sambac			GU135379	GU135212											GU135049							
Jasminum fruticans				DQ673297														DQ673268		AY836536		
Jasminum nervosum				GQ436543											GQ434173					AY836537		
Olea woodiana	AM931502											AM933058	AM933202									
Chionanthus hainanensis							GQ294642	GQ294686	GQ294693													
Ligustrum henryi				JF830416											JF830494				JF830375			
Ligustrum strongylophyllum				JF830420											JF830497				JF830402			
Ligustrum delavayanum				JF830448											JF830525				JF830387			
Ligustrum xingrenense				JF830444											JF830521				JF830337			
Ligustrum obtusifolium															HM751208				AF361294	EU281161		
Ligustrum confusum				JF830429											JF830506				JF830353			
Ligustrum expansum				JF830431											JF830508				JF830359			
Ligustrum leucanthum				JF830441											JF830518				AF361295			
Ligustrum gracile				JF830468											JF830546				JF830350			
Forsythia ovata															EU281171				AF534812	EU281155		
Forsythia giraldiana															FJ263958				AF534809	EU281159		
Forsythia japonica															EU281173				AF534813	EU281144		
Forsythia nakaii															EU281172				AF534811	EU281156		
Forsythia viridissima															FJ263957				FJ592195	EU281145		
Noronhia luteola	AM931528											AM933085	AM933229									
Forestiera neomexicana										AM398050							AF225229			AF231821		
Forestiera acuminata																	AF225227		EU314903	AF231819		
Syringa wardii													JN590988					JN591047		JN591026		
Syringa yunnanensis																	AF225293		AF361285	AF231883		
Syringa mairei													JN590977					JN591036		JN591015		
Phillyrea media				FJ862064	FN689630												AF225284			AF231875		
Fraxinus turkestanica			HM367566					HM222892			HQ705571								HQ705302			
Fraxinus purpusii			HM367530								HQ705532					HM242587			EU314880			
Fraxinus sikkimensis			HM367548								HQ705551					HM242607			HQ705286			
Osmanthus gracilinervis							GQ294654	GQ294665	GQ294705										HM999675			
Jasminum nudiflorum															EU281181		AF225250		AF534817	AF231841		
Olea welwitschii	AM931517											AM933073	AM933217		AM933420							
Olea borneensis	FM208232											FM208224	FM208240		FM208248							
Olea lancea	AM931506											AY040814	AM933205		AM933408							
Olea salicifolia	FM208234											FM208226	FM208242		FM208250							
Olea yuennanensis							GQ294640	GQ294689	GQ294695											HQ117894		
Olea chimanimani	AM931505											AM933062	AM933206		AM933409							
Olea rosea	FM208233											FM208225	FM208241		FM208249							
Olea schliebenii	AM931508											AM933064	AM933208		AM933411							
Olea neriifolia	FM208231											FM208223	FM208239		FM208247							
Olea exasperata	AM931507											AM933063	AM933207		AM933410							
Olea javanica	AM931521											AM933077	AM933221		AM933424							
Olea tsoongii	AM931520											AM933076	AM933220		AM933423							
Chionanthus retusus								GU929896							EU409442		AF225219			AF231811		
Nestegis lanceolata							GU929879	GU929891									AF225265			AF231856		
Ligustrum quihoui		GQ434621		JF830426											JF830503				JF830358			
Ligustrum robustum				JF942294											JF954386				JF976851	JF804913		
Forsythia europaea															EU281178			DQ673264	AF534814	EU281160		
Comoranthus minor				DQ673313													AF225222	DQ673287		AF231814		
Noronhia gracilipes	AM931531											AM933088	AM933232		AM933435							
Noronhia linocerioides	AM931503											AM933059	AM933203		AM933406							
