taxon	rbcL	ndhF	trnK	5.8S-ribosomal-RNA	tRNA-Leu	rps16	
Staavia radiata	AM234937		AY490963	AY494037			
Berzelia abrotanoides	AY490987		AY490954	AY494009			
Audouinia capitata	AY490992		AY490978	AY494050			
Nebelia fragarioides	AY490985		AY490942	AY494024			
Mniothamnea bullata	AY490983		AY490922	AY494030			
Linconia alopecuroides	AY490993		AY490981	AY494029			
Brunia albiflora	AY490988	AF060159	AY490953		AJ430948	AJ431072	
Berzelia lanuginosa	L14391	AJ236241	AY490955		GQ984070	GQ984001	
Desfontainia spinosa	Z29670	AJ011988	AJ429363		AJ430950	AJ431074	
Columellia oblonga	Y10675	AF060160	AJ429362		AJ430949	AJ431073	
